0.250000	0.025619	0.170718	0.011847	0.019427
0.300000	0.034025	0.292252	0.017505	0.025313
0.350000	0.048391	0.480562	0.025334	0.036722
0.400000	0.093172	0.826577	0.039852	0.068779
0.410000	0.130460	0.950577	0.045550	0.097665
0.420000	0.196094	1.241289	0.062939	0.128507
0.430000	0.259794	1.582186	0.083744	0.173549
0.435000	0.486502	1.996274	0.111294	0.173214
0.440000	0.602188	2.085644	0.112932	0.149826
0.445000	0.710923	1.614498	0.073116	0.071828
0.450000	0.735433	1.688622	0.075513	0.093844
0.460000	0.813323	1.178469	0.041136	0.042389
0.470000	0.852675	0.965903	0.028914	0.024416
0.480000	0.877642	0.864017	0.023337	0.019806
0.490000	0.897276	0.766433	0.018687	0.015434
0.500000	0.911448	0.709950	0.016042	0.013677
0.520000	0.933241	0.586947	0.011273	0.009991
0.540000	0.948013	0.497923	0.008303	0.008172
0.560000	0.959027	0.417637	0.006049	0.006732
0.580000	0.967181	0.364418	0.004701	0.005734
0.700000	0.990176	0.160307	0.001094	0.002617
