0.250000	0.297363	0.257874	0.028423	0.005857
0.300000	0.599365	0.406406	0.020456	0.001708
0.350000	0.782227	2.412197	0.178526	0.014642
0.400000	0.881592	4.000000	0.283469	0.019766
0.410000	0.906494	3.842825	0.250899	0.019278
0.420000	0.922607	4.192256	0.272332	0.020742
0.430000	0.930420	3.955127	0.240315	0.018790
0.435000	0.933594	3.219782	0.173575	0.016106
0.440000	0.935547	3.001556	0.153881	0.015130
0.445000	0.935059	2.973469	0.150106	0.014642
0.450000	0.941895	2.753525	0.130656	0.014642
0.460000	0.945312	2.546019	0.112955	0.014154
0.470000	0.950439	3.424813	0.171125	0.016838
0.480000	0.954834	2.722500	0.118031	0.015374
0.490000	0.956299	2.344727	0.092179	0.013910
0.500000	0.961670	2.250000	0.084126	0.013422
0.520000	0.968262	2.588076	0.098838	0.013666
0.540000	0.978271	2.155391	0.071244	0.012445
0.560000	0.981201	1.722656	0.048843	0.010493
0.580000	0.985352	1.345600	0.032306	0.009273
0.700000	0.996094	0.275625	0.002440	0.002928
