#0.400000	0.025351	484.365885	57.423742	0.017726
4	256	0.037298
#0.400000	0.085623	2.039094	0.025174	0.036571
6	256	0.021510
#0.400000	0.028532	0.509898	0.003435	0.019038
8	256	0.016132
#0.400000	65724.996834	7.156243	0.163775	49595.809983
10	256	0.014080
#0.400000	43818.600687	1.461115	0.015290	33410.199429
12	256	0.014315
#0.400000	0.064581	7.910181	0.198224	0.025649
14	256	0.017031
#0.400000	0.023294	0.703063	0.005643	0.016019
16	256	0.019289
#0.400000	0.080990	6.408353	0.139413	0.027519
18	256	0.026894
#0.400000	0.082659	6.386811	0.148515	0.028518
20	256	0.023033
#0.400000	258174.213328	3.018171	0.043059	186236.350395
22	256	0.041629
#0.400000	0.076189	5.167303	0.099217	0.032375
24	256	0.040808
#0.400000	279380.891208	2.579664	0.036870	208491.257654
26	256	0.040525
#0.400000	314265.354671	5.828335	0.112945	238023.996356
28	256	0.045768
#0.400000	0.072489	16.205236	0.543869	0.033583
30	256	0.043219
#0.400000	0.063299	0.913398	0.008164	0.000000
32	256	0.007240
#0.400000	0.057687	0.000000	0.000000	0.000000
36	256	0.000486
#0.400000	0.089383	0.000000	0.000000	0.000000
40	256	0.000511
#0.400000	0.076978	0.000000	0.000000	0.000000
44	256	0.000515
#0.400000	0.076978	0.000000	0.000000	0.000000
48	256	0.000421
#0.400000	0.184028	0.000000	0.000000	0.000000
52	256	0.000443
#0.400000	0.184028	0.000000	0.000000	0.000000
56	256	0.000442
#0.400000	0.184028	0.000000	0.000000	0.000000
60	256	0.000443
#0.400000	0.184028	0.000000	0.000000	0.000000
64	256	0.000442
#0.400000	0.184028	0.000000	0.000000	0.000000
64	256	0.000449
