0.250000	0.006514	0.523589
0.300000	0.008344	-2218.845441
0.350000	0.012784	-8027.352057
0.400000	0.024478	-10484.741152
0.410000	0.030866	-11016.534065
0.420000	0.045138	-18398.293542
0.430000	0.091976	-24233.289724
0.435000	0.205132	-24799.973528
0.440000	0.518771	-25372.167923
0.445000	0.683589	-25952.992297
0.450000	0.745624	-26543.657370
0.460000	0.815245	-35235.164216
0.470000	0.852616	-43426.113249
0.480000	0.877989	-45297.028556
0.490000	0.896819	-47204.316821
0.500000	0.911583	-49150.880234
0.520000	0.933104	-53161.877512
0.540000	0.948123	-57332.106248
0.560000	0.959068	-64306.936672
0.580000	0.967314	-88167.159254
0.700000	0.990161	-128450.391024
