0.250000	0.003210	-5111.759992
0.300000	0.004159	-11688.055075
0.350000	0.006166	-24866.124092
0.400000	0.011942	-51510.264150
0.410000	0.014774	-59834.642991
0.420000	0.023144	-69797.601833
0.430000	0.033207	-82290.857308
0.435000	0.071330	-89672.612255
0.440000	0.264566	-99479.524631
0.445000	0.652612	-111234.436290
0.450000	0.736424	-121052.656650
0.460000	0.808754	-138399.076175
0.470000	0.848050	-154404.799836
0.480000	0.875115	-169840.837770
0.490000	0.894817	-184834.751495
0.500000	0.910119	-199592.781461
0.520000	0.932279	-228567.001642
0.540000	0.947667	-257207.583965
0.560000	0.958780	-286193.968267
0.580000	0.967115	-314129.591328
0.700000	0.990134	-497426.775206
