0	1
1	0.323364	4760.000000
2	0.223328	3732.000000
3	0.255208	4178.666667
4	0.265045	4428.000000
5	0.242017	4292.000000
6	0.205383	4104.666667
7	0.192191	4006.857143
8	0.183990	3990.000000
9	0.172011	3913.333333
10	0.156494	3831.200000
11	0.145208	3758.909091
12	0.137360	3739.666667
13	0.130193	3731.076923
14	0.121181	3710.285714
15	0.113485	3684.266667
16	0.106705	3665.000000
17	0.100521	3648.941176
18	0.095439	3631.111111
19	0.090872	3609.052632
20	0.087018	3593.400000
21	0.083258	3571.809524
22	0.079540	3563.454545
23	0.076788	3557.565217
24	0.073873	3541.500000
25	0.071138	3537.600000
26	0.068444	3531.384615
27	0.066081	3507.851852
28	0.063878	3497.857143
29	0.061856	3494.758621
30	0.060164	3487.200000
31	0.058322	3485.677419
32	0.056694	3489.500000
33	0.055198	3485.818182
34	0.053808	3488.823529
35	0.052340	3488.800000
36	0.051283	3486.666667
37	0.050016	3474.918919
38	0.048757	3469.789474
39	0.047964	3463.179487
40	0.047153	3457.900000
41	0.046018	3455.609756
42	0.045332	3456.666667
43	0.044493	3456.279070
44	0.043690	3456.909091
45	0.042906	3457.866667
46	0.041990	3454.608696
47	0.041283	3452.680851
48	0.040438	3452.083333
49	0.039665	3449.551020
50	0.038977	3442.080000
51	0.038251	3436.235294
52	0.037548	3428.923077
53	0.036861	3426.339623
54	0.036391	3423.481481
55	0.036020	3421.381818
56	0.035581	3424.642857
57	0.034964	3430.385965
58	0.034464	3431.448276
59	0.034004	3432.406780
60	0.033462	3433.533333
61	0.033043	3427.409836
62	0.032563	3421.096774
63	0.032052	3420.380952
64	0.031605	3420.437500
65	0.031132	3423.446154
66	0.030671	3420.121212
67	0.030283	3414.208955
68	0.029880	3409.647059
69	0.029477	3403.130435
70	0.029112	3401.885714
71	0.028704	3399.492958
72	0.028369	3397.666667
73	0.028145	3397.863014
74	0.027829	3396.324324
75	0.027524	3395.840000
76	0.027183	3397.052632
77	0.026894	3394.961039
78	0.026690	3396.256410
79	0.026449	3395.341772
80	0.026170	3394.150000
81	0.025968	3394.320988
82	0.025877	3389.268293
83	0.025735	3386.746988
84	0.025491	3383.809524
85	0.025372	3383.576471
86	0.025094	3380.604651
87	0.025006	3374.482759
88	0.024887	3372.545455
89	0.024617	3377.393258
90	0.024430	3375.555556
91	0.024277	3372.703297
92	0.024082	3373.000000
93	0.023876	3373.118280
94	0.023631	3375.106383
95	0.023457	3373.768421
96	0.023228	3373.458333
97	0.023099	3367.381443
98	0.022943	3367.836735
99	0.022796	3365.333333
100	0.022749	3366.640000
101	0.022525	3368.792079
102	0.022374	3367.058824
103	0.022306	3366.407767
104	0.022192	3366.807692
105	0.022069	3369.866667
106	0.021872	3367.132075
107	0.021784	3369.495327
108	0.021646	3366.703704
109	0.021450	3366.752294
110	0.021287	3366.509091
111	0.021197	3365.837838
112	0.021073	3365.071429
113	0.020954	3364.424779
114	0.020793	3364.175439
115	0.020695	3365.321739
116	0.020649	3366.379310
117	0.020636	3366.119658
118	0.020503	3364.508475
119	0.020432	3363.865546
120	0.020332	3365.600000
121	0.020220	3364.826446
122	0.020192	3364.655738
123	0.020165	3363.902439
124	0.020048	3361.677419
125	0.020008	3361.600000
126	0.019951	3362.380952
127	0.019957	3362.456693
128	0.019870	3361.562500
129	0.019735	3361.798450
130	0.019643	3360.461538
131	0.019512	3360.000000
132	0.019366	3361.272727
133	0.019287	3359.187970
134	0.019228	3358.835821
135	0.019191	3357.985185
136	0.019059	3358.147059
137	0.018944	3358.744526
138	0.018861	3359.623188
139	0.018750	3360.028777
140	0.018638	3360.685714
141	0.018598	3361.134752
142	0.018532	3360.563380
143	0.018513	3359.104895
144	0.018465	3360.694444
145	0.018445	3362.013793
146	0.018354	3363.260274
147	0.018314	3361.278912
148	0.018296	3360.540541
149	0.018178	3359.865772
150	0.018133	3357.813333
151	0.018099	3357.271523
152	0.018005	3358.131579
153	0.017912	3357.385621
154	0.017848	3358.285714
155	0.017774	3358.219355
156	0.017731	3357.769231
157	0.017675	3356.815287
158	0.017630	3353.873418
159	0.017546	3350.867925
160	0.017535	3348.450000
161	0.017473	3349.763975
162	0.017430	3349.530864
163	0.017406	3348.171779
164	0.017423	3345.731707
165	0.017392	3344.969697
166	0.017316	3344.939759
167	0.017224	3346.155689
168	0.017219	3347.047619
169	0.017206	3347.124260
170	0.017162	3347.364706
171	0.017113	3347.321637
172	0.017050	3346.093023
173	0.017131	3344.254335
174	0.017149	3345.080460
175	0.017090	3344.548571
176	0.017032	3344.477273
