0	1
1	0.335449	5368.000000
2	0.232178	4036.000000
3	0.260498	4382.666667
4	0.268799	4546.000000
5	0.240381	4289.600000
6	0.205343	4084.000000
7	0.190691	3990.285714
8	0.179825	3901.000000
9	0.166450	3829.777778
10	0.150720	3758.000000
11	0.137451	3665.454545
12	0.128062	3605.000000
13	0.120258	3534.461538
14	0.112244	3487.428571
15	0.105737	3472.800000
16	0.100082	3428.000000
17	0.094396	3429.882353
18	0.089240	3428.444444
19	0.084723	3409.894737
20	0.081165	3390.600000
21	0.077724	3387.809524
22	0.074352	3398.727273
23	0.071178	3404.695652
24	0.068400	3394.500000
25	0.065991	3375.840000
26	0.064416	3367.538462
27	0.062455	3368.444444
28	0.060730	3357.142857
29	0.059406	3355.172414
30	0.058142	3343.733333
31	0.056566	3341.935484
32	0.054893	3334.750000
33	0.053500	3330.181818
34	0.052041	3324.117647
35	0.051039	3317.600000
36	0.049903	3317.000000
37	0.048587	3305.729730
38	0.047739	3305.684211
39	0.047078	3305.230769
40	0.046338	3301.400000
41	0.045386	3299.902439
42	0.044495	3300.285714
43	0.043605	3298.418605
44	0.042819	3293.000000
45	0.041933	3290.844444
46	0.041239	3285.130435
47	0.040644	3284.085106
48	0.039825	3278.583333
49	0.039342	3274.693878
50	0.038936	3272.000000
51	0.038198	3262.901961
52	0.037701	3256.692308
53	0.037206	3248.301887
54	0.036684	3246.666667
55	0.036028	3248.945455
56	0.035610	3252.642857
57	0.035156	3243.789474
58	0.034678	3237.172414
59	0.034151	3235.457627
60	0.033925	3235.733333
61	0.033563	3230.491803
62	0.033077	3230.193548
63	0.032651	3229.142857
64	0.032337	3224.750000
65	0.031894	3217.538462
66	0.031616	3209.878788
67	0.031261	3207.582090
68	0.030974	3204.176471
69	0.030785	3203.884058
70	0.030537	3205.257143
71	0.030236	3206.985915
72	0.029839	3203.333333
73	0.029558	3202.027397
74	0.029203	3203.945946
75	0.028882	3196.426667
76	0.028515	3191.947368
77	0.028171	3190.597403
78	0.027904	3191.794872
79	0.027623	3188.708861
80	0.027429	3185.950000
81	0.027128	3183.703704
82	0.026908	3179.365854
83	0.026597	3177.542169
84	0.026324	3176.523810
85	0.026150	3177.129412
86	0.025879	3175.348837
87	0.025618	3173.701149
88	0.025477	3174.818182
89	0.025301	3176.000000
90	0.025138	3176.133333
91	0.024900	3176.307692
