0	1
1	0.337524	4988.000000
2	0.239441	3888.000000
3	0.268351	4332.000000
4	0.274109	4469.000000
5	0.246265	4232.000000
6	0.207967	4090.000000
7	0.191424	4001.714286
8	0.180115	3912.000000
9	0.168389	3839.555556
10	0.152161	3816.000000
11	0.141102	3785.090909
12	0.133586	3791.333333
13	0.125761	3749.538462
14	0.117031	3712.000000
15	0.109920	3673.066667
16	0.105591	3644.000000
17	0.100909	3643.764706
18	0.095473	3637.333333
19	0.090653	3631.157895
20	0.086188	3627.600000
21	0.082153	3630.476190
22	0.078558	3613.454545
23	0.075418	3604.521739
24	0.072576	3598.166667
25	0.069766	3587.840000
26	0.067106	3580.000000
27	0.064910	3569.925926
28	0.062836	3565.714286
29	0.061401	3557.655172
30	0.059786	3556.266667
31	0.058161	3541.935484
32	0.056576	3549.250000
33	0.054969	3550.787879
34	0.053542	3558.352941
35	0.052016	3554.628571
36	0.050588	3548.666667
37	0.049303	3537.081081
38	0.048455	3529.789474
39	0.047758	3522.461538
40	0.046649	3520.100000
41	0.045559	3514.926829
42	0.044742	3510.380952
43	0.043854	3509.488372
44	0.043274	3506.636364
45	0.042578	3499.022222
46	0.041833	3499.478261
47	0.040990	3492.510638
48	0.040232	3486.250000
49	0.039633	3488.081633
50	0.039150	3486.640000
51	0.038675	3483.843137
52	0.037997	3482.230769
53	0.037411	3485.207547
54	0.037125	3486.074074
55	0.036508	3480.509091
56	0.036094	3476.500000
57	0.035462	3479.298246
58	0.035152	3477.103448
59	0.034600	3480.949153
60	0.034076	3483.866667
61	0.033591	3481.639344
62	0.033170	3474.129032
63	0.032899	3470.285714
64	0.032412	3469.187500
65	0.032255	3465.169231
66	0.031927	3458.969697
67	0.031454	3456.955224
68	0.031018	3457.647059
69	0.030610	3456.579710
70	0.030219	3452.800000
71	0.029849	3455.211268
72	0.029475	3456.000000
73	0.029140	3453.972603
74	0.028762	3452.540541
75	0.028501	3448.266667
76	0.028148	3446.368421
77	0.028048	3447.428571
78	0.028046	3448.051282
79	0.027772	3441.772152
80	0.027519	3433.350000
81	0.027318	3429.629630
82	0.027104	3429.365854
83	0.026791	3427.566265
84	0.026526	3426.285714
85	0.026547	3425.835294
86	0.026457	3427.674419
87	0.026197	3425.057471
88	0.026019	3422.090909
89	0.025876	3420.359551
90	0.025601	3418.977778
91	0.025420	3419.604396
92	0.025324	3421.000000
93	0.025139	3424.086022
94	0.024921	3426.723404
95	0.025000	3427.073684
96	0.024948	3425.541667
97	0.024717	3422.886598
98	0.024498	3421.959184
99	0.024253	3420.565657
100	0.024061	3417.480000
101	0.023839	3416.792079
102	0.023623	3418.235294
103	0.023480	3418.252427
104	0.023294	3416.500000
105	0.023127	3416.228571
106	0.022919	3415.433962
107	0.022720	3411.738318
108	0.022522	3410.629630
109	0.022324	3408.697248
110	0.022157	3407.563636
111	0.022063	3406.234234
112	0.021903	3408.821429
113	0.021743	3407.115044
114	0.021581	3407.017544
115	0.021481	3406.156522
116	0.021329	3405.689655
117	0.021201	3403.794872
118	0.021125	3403.355932
119	0.020993	3401.983193
120	0.020823	3400.433333
121	0.020778	3403.867769
122	0.020690	3404.950820
123	0.020654	3403.544715
124	0.020491	3403.645161
125	0.020366	3403.520000
126	0.020235	3401.111111
127	0.020173	3399.622047
128	0.020084	3400.687500
129	0.020024	3399.565891
130	0.019907	3396.892308
131	0.019765	3397.007634
132	0.019691	3396.030303
133	0.019595	3395.879699
134	0.019480	3397.253731
135	0.019355	3396.296296
136	0.019256	3393.529412
137	0.019167	3393.635036
138	0.019063	3394.898551
139	0.018968	3394.446043
140	0.018866	3393.800000
141	0.018792	3394.524823
142	0.018728	3395.746479
143	0.018611	3394.797203
144	0.018493	3394.833333
145	0.018413	3392.551724
146	0.018359	3390.547945
147	0.018298	3388.843537
148	0.018196	3389.432432
149	0.018094	3388.778523
150	0.017980	3389.280000
151	0.017868	3387.841060
152	0.017773	3387.473684
153	0.017692	3385.725490
154	0.017597	3384.051948
155	0.017540	3382.141935
156	0.017559	3380.435897
157	0.017544	3381.121019
158	0.017531	3380.025316
159	0.017468	3378.616352
160	0.017408	3377.950000
161	0.017402	3378.211180
162	0.017359	3377.777778
163	0.017284	3376.981595
164	0.017194	3375.487805
165	0.017113	3374.036364
166	0.017015	3373.831325
167	0.016975	3373.796407
168	0.016989	3375.119048
169	0.016902	3375.739645
170	0.016844	3376.305882
171	0.016754	3376.397661
172	0.016718	3375.883721
173	0.016648	3377.803468
174	0.016603	3377.356322
175	0.016579	3376.525714
176	0.016513	3374.818182
177	0.016531	3373.898305
178	0.016458	3373.415730
179	0.016413	3373.519553
180	0.016364	3373.955556
181	0.016282	3373.944751
182	0.016245	3373.516484
183	0.016207	3374.426230
184	0.016190	3376.000000
185	0.016124	3376.583784
186	0.016060	3379.333333
187	0.015983	3380.021390
188	0.015905	3379.702128
189	0.015830	3379.746032
190	0.015765	3379.389474
191	0.015702	3378.219895
192	0.015647	3377.062500
193	0.015569	3377.409326
194	0.015524	3378.556701
195	0.015527	3377.312821
196	0.015479	3377.367347
197	0.015458	3377.015228
198	0.015438	3377.272727
199	0.015408	3377.447236
200	0.015347	3377.740000
201	0.015301	3377.313433
202	0.015233	3376.930693
203	0.015205	3375.310345
204	0.015149	3376.352941
205	0.015106	3376.565854
206	0.015095	3377.844660
207	0.015072	3378.028986
208	0.015053	3376.576923
209	0.015012	3374.066986
210	0.014941	3372.933333
211	0.014905	3373.213270
212	0.014863	3371.867925
213	0.014809	3370.535211
214	0.014748	3370.411215
215	0.014693	3370.530233
216	0.014628	3369.518519
217	0.014574	3367.207373
218	0.014568	3367.009174
219	0.014574	3367.853881
220	0.014552	3369.363636
221	0.014510	3369.954751
222	0.014457	3370.594595
223	0.014419	3370.618834
224	0.014391	3371.678571
225	0.014405	3372.444444
226	0.014375	3374.283186
227	0.014359	3374.995595
228	0.014376	3374.947368
229	0.014438	3373.624454
230	0.014426	3374.382609
231	0.014380	3373.818182
232	0.014324	3374.465517
233	0.014292	3375.141631
234	0.014264	3375.008547
235	0.014244	3374.314894
236	0.014185	3373.288136
237	0.014162	3372.472574
238	0.014227	3370.521008
239	0.014262	3370.309623
240	0.014267	3370.750000
241	0.014212	3370.406639
242	0.014190	3369.520661
243	0.014145	3368.131687
244	0.014097	3366.918033
245	0.014046	3366.432653
246	0.013990	3365.902439
247	0.013937	3364.000000
248	0.013896	3363.838710
249	0.013903	3363.485944
250	0.013860	3362.624000
251	0.013861	3362.549801
252	0.013824	3362.365079
253	0.013772	3361.960474
254	0.013742	3362.173228
255	0.013695	3362.384314
256	0.013651	3363.234375
257	0.013611	3363.128405
258	0.013563	3363.596899
259	0.013512	3364.015444
260	0.013514	3363.384615
261	0.013463	3363.555556
262	0.013450	3363.862595
263	0.013417	3364.638783
264	0.013435	3364.939394
265	0.013392	3365.041509
266	0.013370	3365.699248
267	0.013323	3365.842697
268	0.013277	3365.716418
269	0.013250	3367.197026
270	0.013263	3367.762963
271	0.013219	3367.070111
272	0.013210	3366.147059
273	0.013193	3366.608059
274	0.013172	3366.627737
275	0.013128	3366.210909
276	0.013089	3365.463768
277	0.013073	3364.519856
278	0.013118	3364.892086
279	0.013100	3365.634409
280	0.013082	3366.642857
281	0.013105	3368.455516
282	0.013126	3369.460993
283	0.013088	3370.318021
